63,64,65,66,67,68;58,59,60,61,62,63,64,65
54,55,56,57,58,59,60,61,62,63,64,65,66,67;50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
74,75,76,77,78,79,80,81,82,83,84,85,86,87;89,90,91,92,93
87,88,89,90,91,92,93,94;89,90,91,92,93,94,95,96
64,65,66,67,68,69,70,71,72,73,74;87,88,89,90,91,92,93,94,95,96
89,90,91,92,93,94,95,96,97,98;55,56,57,58,59,60,61,62,63,64,65
93,94,95,96,97,98,99,100,101,102,103,104;91,92,93,94,95,96,97,98,99,100,101,102,103
77,78,79,80,81;60,61,62,63,64,65,66
77,78,79,80,81,82,83,84,85,86,87,88;69,70,71,72,73,74,75
75,76,77,78,79,80;72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
9,10,11;33,34,35
54,55,56,57,58,59,60,61,62,63,64,65,66;61,62,63,64,65,66
85,86,87,88,89,90,91,92,93,94,95,96,97;88,89,90,91,92,93,94,95,96,97,98
79,80,81,82,83,84,85,86,87,88,89,90,91,92,93;52,53,54,55,56
75,76,77,78,79,80,81,82,83,84,85,86,87;66,67,68,69,70,71,72,73
9,10,11;11,12,13
54,55,56,57,58,59,60,61,62,63,64;93,94,95,96,97,98,99,100,101
50,51,52,53,54,55,56,57,58,59,60,61;57,58,59,60,61,62,63,64,65,66,67,68,69
1,2,3,4;3,4,5,6
20,25,36,45,89;25,36,77,88,98
